Phase_Label,Text,Explanation
0,"Nicht hinlangen, keine Angst, ich mache es gleich so, dass Sie wieder rausschauen.","Diese Sätze werden gesprochen, um den Patienten während der Operation zu beruhigen und zu informieren, dass kurzzeitig ihr Gesicht oder ihre Augen mit sterilen Tuch bedeckt werden, aber dass dies schnell wieder rückgängig gemacht wird, um Unbehagen oder Angst zu minimieren."
0,"Ihr wollt nicht erschrecken, ich decke sie mal ein bisschen zu.","Diese Sätze werden gesprochen, um den Patienten während der Operation zu beruhigen und zu informieren, dass kurzzeitig ihr Gesicht oder ihre Augen mit sterilen Tuch bedeckt werden, aber dass dies schnell wieder rückgängig gemacht wird, um Unbehagen oder Angst zu minimieren."
0,"Das große Tunnel geht kurz über das Gesicht, das machen wir dann aber gleich wieder frei.","Diese Sätze werden gesprochen, um den Patienten während der Operation zu beruhigen und zu informieren, dass kurzzeitig ihr Gesicht oder ihre Augen mit sterilen Tuch bedeckt werden, aber dass dies schnell wieder rückgängig gemacht wird, um Unbehagen oder Angst zu minimieren."
0,"Dürfen Sie mal kurz die Augen zumachen, weil ich muss das kurz einmal über den Kopf legen, aber ich mache es sofort wieder weg.","Diese Sätze werden gesprochen, um den Patienten während der Operation zu beruhigen und zu informieren, dass kurzzeitig ihr Gesicht oder ihre Augen mit sterilen Tuch bedeckt werden, aber dass dies schnell wieder rückgängig gemacht wird, um Unbehagen oder Angst zu minimieren."
0,"Ich gehe mal kurz über die Augen, deswegen Augen mal kurz zumachen.","Diese Sätze werden gesprochen, um den Patienten während der Operation zu beruhigen und zu informieren, dass kurzzeitig ihr Gesicht oder ihre Augen mit sterilen Tuch bedeckt werden, aber dass dies schnell wieder rückgängig gemacht wird, um Unbehagen oder Angst zu minimieren."
0,"mal kurz über ihr Gesicht drüber, nicht erschrecken, wir machen die Sicht gleich wieder frei.","Diese Sätze werden gesprochen, um den Patienten während der Operation zu beruhigen und zu informieren, dass kurzzeitig ihr Gesicht oder ihre Augen mit sterilen Tuch bedeckt werden, aber dass dies schnell wieder rückgängig gemacht wird, um Unbehagen oder Angst zu minimieren."
0,Nimm mal das sterile Tuch.,"Diese Sätze beziehen sich auf das Abdecken des Patienten mit sterilen Tüchern während der Operation, um den sterilen Bereich vorzubereiten und den Patienten vor Infektionen zu schützen. Sie dienen dazu, den Operationsbereich abzudecken und gleichzeitig den Patienten zu beruhigen und über die nächsten Schritte zu informieren."
0,Also dann kommt jetzt mal das Tuch nicht erschrecken.,"Diese Sätze beziehen sich auf das Abdecken des Patienten mit sterilen Tüchern während der Operation, um den sterilen Bereich vorzubereiten und den Patienten vor Infektionen zu schützen. Sie dienen dazu, den Operationsbereich abzudecken und gleichzeitig den Patienten zu beruhigen und über die nächsten Schritte zu informieren."
0,Ich deck sie gleich mit so einem OP-Tuch ab.,"Diese Sätze beziehen sich auf das Abdecken des Patienten mit sterilen Tüchern während der Operation, um den sterilen Bereich vorzubereiten und den Patienten vor Infektionen zu schützen. Sie dienen dazu, den Operationsbereich abzudecken und gleichzeitig den Patienten zu beruhigen und über die nächsten Schritte zu informieren."
0,Wir machen jetzt schon mal ein steriles Tuch bei Ihnen.,"Diese Sätze beziehen sich auf das Abdecken des Patienten mit sterilen Tüchern während der Operation, um den sterilen Bereich vorzubereiten und den Patienten vor Infektionen zu schützen. Sie dienen dazu, den Operationsbereich abzudecken und gleichzeitig den Patienten zu beruhigen und über die nächsten Schritte zu informieren."
0,einfach ein U-Tuch nehmen und ein Verlängerungstuch.,"Diese Sätze beziehen sich auf das Abdecken des Patienten mit sterilen Tüchern während der Operation, um den sterilen Bereich vorzubereiten und den Patienten vor Infektionen zu schützen. Sie dienen dazu, den Operationsbereich abzudecken und gleichzeitig den Patienten zu beruhigen und über die nächsten Schritte zu informieren."
0,"Es gibt keine Unwendigkeit, dass man jetzt für den Eingriff nüchtern ist.","Diese Sätze beziehen sich auf die Diskussion der Notwendigkeit, nüchtern zu sein vor einer Portkatheter-Platzierung. Sie erklären, dass für diesen Eingriff keine Vollnarkose, sondern nur eine lokale Betäubung nötig ist, weshalb die übliche Regel des Nüchternseins vor Operationen hier nicht zutrifft."
0,"Ja, ich lasse es auch gerade dem Kollegen, wir haben gerade nachgeschaut, ausrichten, dass das nicht nötig ist. Es gibt grundsätzlich, vor Operationen muss man nüchtern sein.","Diese Sätze beziehen sich auf die Diskussion der Notwendigkeit, nüchtern zu sein vor einer Portkatheter-Platzierung. Sie erklären, dass für diesen Eingriff keine Vollnarkose, sondern nur eine lokale Betäubung nötig ist, weshalb die übliche Regel des Nüchternseins vor Operationen hier nicht zutrifft."
0,"Da geht es nicht um den Hautschnitt, den man machen muss, sondern um die Narkosemittel.","Diese Sätze beziehen sich auf die Diskussion der Notwendigkeit, nüchtern zu sein vor einer Portkatheter-Platzierung. Sie erklären, dass für diesen Eingriff keine Vollnarkose, sondern nur eine lokale Betäubung nötig ist, weshalb die übliche Regel des Nüchternseins vor Operationen hier nicht zutrifft."
0,"Nur lokale Betäubung, keine Narkosemittel.","Diese Sätze beziehen sich auf die Diskussion der Notwendigkeit, nüchtern zu sein vor einer Portkatheter-Platzierung. Sie erklären, dass für diesen Eingriff keine Vollnarkose, sondern nur eine lokale Betäubung nötig ist, weshalb die übliche Regel des Nüchternseins vor Operationen hier nicht zutrifft."
0,Dann fährst du mal den Tisch hoch.,"Diese Sätze beziehen sich auf die Steuerung des Operationstisches, vermutlich um die Position des Patienten anzupassen. Sie werden gesprochen, um das Team anzuweisen, den Tisch zu justieren, damit der Radiologe besseren Zugang zum Operationsbereich hat."
